step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,MicroF1,MacroF1,error
19584.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.009034156799316406,22.02778,True,0.0,0.0,0.0,
19992.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.009111404418945312,22.952541,True,0.0,0.0,0.0,
20400.0,Multiclass classification,CapyMoa Online Bagging,Keystroke,0.009188652038574219,23.896099,True,0.0,0.0,0.0,
46.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,0.003865,True,0.0,0.0,0.0,
92.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,0.009623,True,0.0,0.0,0.0,
138.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.017055,True,0.0,0.0,0.0,
184.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,0.026164,True,0.0,0.0,0.0,
230.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.036943000000000004,True,0.0,0.0,0.0,
276.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.049378000000000005,True,0.0,0.0,0.0,
322.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.063506,True,0.0,0.0,0.0,
368.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.079294,True,0.0,0.0,0.0,
414.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.096745,True,0.0,0.0,0.0,
460.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.11583299999999999,True,0.0,0.0,0.0,
506.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003265380859375,0.13658599999999999,True,0.0,0.0,0.0,
552.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.00321197509765625,0.15897999999999998,True,0.0,0.0,0.0,
598.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.18303599999999998,True,0.0,0.0,0.0,
644.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.20874299999999998,True,0.0,0.0,0.0,
690.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.23607599999999998,True,0.0,0.0,0.0,
736.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.265057,True,0.0,0.0,0.0,
782.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.29575799999999997,True,0.0,0.0,0.0,
828.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.328107,True,0.0,0.0,0.0,
874.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.36210899999999996,True,0.0,0.0,0.0,
920.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.39776799999999995,True,0.0,0.0,0.0,
966.0,Multiclass classification,CapyMoa Leveraging Bagging,ImageSegments,0.003238677978515625,0.43509899999999996,True,0.0,0.0,0.0,
