step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
2438,Binary classification,Naive Bayes,Bananas,0.6101764464505539,0.40846824408468246,0.014024734497070312,7.910052
2544,Binary classification,Naive Bayes,Bananas,0.6114825009830909,0.41538461538461535,0.014024734497070312,8.729715
2650,Binary classification,Naive Bayes,Bananas,0.6100415251038127,0.41273450824332003,0.014024734497070312,9.566259
2756,Binary classification,Naive Bayes,Bananas,0.6076225045372051,0.4070213933077345,0.014024734497070312,10.420307000000001
2862,Binary classification,Naive Bayes,Bananas,0.6085284865431667,0.4092827004219409,0.014024734497070312,11.29353
2968,Binary classification,Naive Bayes,Bananas,0.6083586113919784,0.4065372829417773,0.014024734497070312,12.188999
3074,Binary classification,Naive Bayes,Bananas,0.60624796615685,0.40628066732090284,0.014024734497070312,13.107703
3180,Binary classification,Naive Bayes,Bananas,0.6071091538219566,0.4077761972498815,0.014024734497070312,14.086630000000001
3286,Binary classification,Naive Bayes,Bananas,0.6063926940639269,0.4049700874367234,0.014024734497070312,15.097838000000001
3392,Binary classification,Naive Bayes,Bananas,0.6048363314656443,0.40602836879432624,0.014024734497070312,16.143547
3498,Binary classification,Naive Bayes,Bananas,0.6065198741778668,0.40535868625756266,0.014024734497070312,17.226015
3604,Binary classification,Naive Bayes,Bananas,0.6086594504579517,0.40905280804694044,0.014024734497070312,18.37813
3710,Binary classification,Naive Bayes,Bananas,0.6085198166621731,0.4078303425774878,0.014024734497070312,19.588141
3816,Binary classification,Naive Bayes,Bananas,0.6070773263433814,0.40492258832870187,0.014024734497070312,20.838414
3922,Binary classification,Naive Bayes,Bananas,0.6067329762815609,0.4027885360185902,0.014024734497070312,22.143417
4028,Binary classification,Naive Bayes,Bananas,0.6088899925502855,0.405436013590034,0.014024734497070312,23.485578
4134,Binary classification,Naive Bayes,Bananas,0.6106944108395839,0.40780272359219727,0.014024734497070312,24.862071
4240,Binary classification,Naive Bayes,Bananas,0.611936777541873,0.41186986056489094,0.014024734497070312,26.336672
4346,Binary classification,Naive Bayes,Bananas,0.6131185270425776,0.4128536500174642,0.014024734497070312,27.967488
4452,Binary classification,Naive Bayes,Bananas,0.6137946528869916,0.413510747185261,0.014024734497070312,29.73975
4558,Binary classification,Naive Bayes,Bananas,0.6122448979591837,0.4115884115884116,0.014024734497070312,31.642255000000002
4664,Binary classification,Naive Bayes,Bananas,0.6126956894702981,0.41249186727391024,0.014024734497070312,33.595712
4770,Binary classification,Naive Bayes,Bananas,0.6143845669951772,0.41302266198531756,0.014024734497070312,35.597228
4876,Binary classification,Naive Bayes,Bananas,0.6153846153846154,0.4131455399061033,0.014024734497070312,37.640666
4982,Binary classification,Naive Bayes,Bananas,0.6163420999799237,0.41684467500762895,0.014024734497070312,39.759387000000004
5088,Binary classification,Naive Bayes,Bananas,0.6150973068606251,0.41412327947336924,0.014024734497070312,41.932909
5194,Binary classification,Naive Bayes,Bananas,0.6146735990756788,0.4133685136323659,0.014024734497070312,44.169761
5300,Binary classification,Naive Bayes,Bananas,0.6152104170598226,0.4139120436907157,0.014024734497070312,46.46144
906,Binary classification,Naive Bayes,Elec2,0.8187845303867404,0.8284518828451883,0.05103778839111328,0.532443
1812,Binary classification,Naive Bayes,Elec2,0.8023191606847045,0.7475317348377998,0.05103778839111328,1.32668
2718,Binary classification,Naive Bayes,Elec2,0.784688995215311,0.706177800100452,0.05103778839111328,2.559397
3624,Binary classification,Naive Bayes,Elec2,0.8032017664918576,0.7356321839080461,0.05103778839111328,4.503301
4530,Binary classification,Naive Bayes,Elec2,0.7979686465003312,0.7073872721458268,0.05103778839111328,7.070219
5436,Binary classification,Naive Bayes,Elec2,0.7937442502299908,0.6972724817715366,0.05103778839111328,10.045435
6342,Binary classification,Naive Bayes,Elec2,0.7982967986122063,0.7065840789171829,0.05103778839111328,13.232129
7248,Binary classification,Naive Bayes,Elec2,0.790396025941769,0.6875128574367414,0.05103778839111328,16.758585
8154,Binary classification,Naive Bayes,Elec2,0.7841285416411137,0.6888260254596887,0.05103778839111328,20.614463
9060,Binary classification,Naive Bayes,Elec2,0.7897118887294403,0.7086710506193606,0.05103778839111328,24.900721
9966,Binary classification,Naive Bayes,Elec2,0.793176116407426,0.7240594457089301,0.05103778839111328,29.701002000000003
10872,Binary classification,Naive Bayes,Elec2,0.7960629196946003,0.7361656551231703,0.05103778839111328,34.88606
11778,Binary classification,Naive Bayes,Elec2,0.792137216608644,0.7295027624309391,0.05103778839111328,40.314202
12684,Binary classification,Naive Bayes,Elec2,0.7820704880548766,0.7260111022997621,0.05103778839111328,46.057898
13590,Binary classification,Naive Bayes,Elec2,0.7858562072264331,0.7383564107174968,0.05103778839111328,52.184251
14496,Binary classification,Naive Bayes,Elec2,0.7866850638151086,0.7435727317963178,0.05103778839111328,58.566723
15402,Binary classification,Naive Bayes,Elec2,0.785728199467567,0.738593155893536,0.05103778839111328,65.27309
16308,Binary classification,Naive Bayes,Elec2,0.7806463481940271,0.7274666666666666,0.05103778839111328,72.212769
17214,Binary classification,Naive Bayes,Elec2,0.7788880497298554,0.7181158346911569,0.05103778839111328,79.424245
18120,Binary classification,Naive Bayes,Elec2,0.7728903361112645,0.7138983522213725,0.05103778839111328,87.142966
19026,Binary classification,Naive Bayes,Elec2,0.7701445466491459,0.7094931242941608,0.05103778839111328,95.273236
19932,Binary classification,Naive Bayes,Elec2,0.7628317696051378,0.702236220472441,0.05103778839111328,103.696508
20838,Binary classification,Naive Bayes,Elec2,0.7537553390603254,0.6903626817934946,0.05103778839111328,112.489409
21744,Binary classification,Naive Bayes,Elec2,0.7508163546888654,0.6836389115964032,0.05103778839111328,121.68035599999999
22650,Binary classification,Naive Bayes,Elec2,0.7509823833281822,0.6798001589644601,0.05103778839111328,131.11372599999999
23556,Binary classification,Naive Bayes,Elec2,0.7457015495648482,0.668217569513681,0.05103778839111328,141.00443299999998
24462,Binary classification,Naive Bayes,Elec2,0.7466170638976329,0.665839982747466,0.05103778839111328,151.282739
25368,Binary classification,Naive Bayes,Elec2,0.7447865336854969,0.6611180904522613,0.05103778839111328,162.45742099999998
26274,Binary classification,Naive Bayes,Elec2,0.7448711605069843,0.6581322996888865,0.05103778839111328,174.45207899999997
27180,Binary classification,Naive Bayes,Elec2,0.741123661650539,0.650402464473815,0.05103778839111328,187.08561199999997
28086,Binary classification,Naive Bayes,Elec2,0.7390065871461634,0.6440019426906265,0.05103778839111328,200.30352399999998
28992,Binary classification,Naive Bayes,Elec2,0.7358145631402849,0.6343280019097637,0.05103778839111328,214.16714299999998
29898,Binary classification,Naive Bayes,Elec2,0.7320466936481921,0.6243023964732918,0.05103778839111328,228.34683199999998
30804,Binary classification,Naive Bayes,Elec2,0.7297990455475116,0.6158319870759289,0.05103778839111328,242.76456299999998
31710,Binary classification,Naive Bayes,Elec2,0.7256930209088902,0.6059617649723658,0.05103778839111328,257.52471599999996
32616,Binary classification,Naive Bayes,Elec2,0.7215391690939752,0.596427301813011,0.05103778839111328,272.69188599999995
33522,Binary classification,Naive Bayes,Elec2,0.7176695205990274,0.5867248908296943,0.05103778839111328,288.2116639999999
34428,Binary classification,Naive Bayes,Elec2,0.7142359194818021,0.5779493779493778,0.05103778839111328,304.02990399999993
35334,Binary classification,Naive Bayes,Elec2,0.7138369229898395,0.5724554949469323,0.05103778839111328,320.0835569999999
36240,Binary classification,Naive Bayes,Elec2,0.7174866856149452,0.5752924583091347,0.05103778839111328,336.50031299999995
37146,Binary classification,Naive Bayes,Elec2,0.7169740207295733,0.5716148486206756,0.05103778839111328,353.19930899999997
38052,Binary classification,Naive Bayes,Elec2,0.7183516858952459,0.573859795618116,0.05103778839111328,370.20751599999994
38958,Binary classification,Naive Bayes,Elec2,0.7206407064198989,0.5799529121154812,0.05103778839111328,388.1384979999999
39864,Binary classification,Naive Bayes,Elec2,0.7217720693374808,0.5866964784795975,0.05103778839111328,406.3610039999999
40770,Binary classification,Naive Bayes,Elec2,0.7228776766660944,0.5923065819861432,0.05103778839111328,424.9129909999999
41676,Binary classification,Naive Bayes,Elec2,0.724127174565087,0.5973170817134251,0.05103778839111328,443.7630459999999
42582,Binary classification,Naive Bayes,Elec2,0.7260280406754186,0.6013259517462921,0.05103778839111328,462.8616129999999
43488,Binary classification,Naive Bayes,Elec2,0.7277117299422816,0.6045222270465248,0.05103778839111328,482.8216479999999
44394,Binary classification,Naive Bayes,Elec2,0.7273894532921857,0.6015933631814591,0.05103778839111328,503.28805499999993
45300,Binary classification,Naive Bayes,Elec2,0.7287136581381487,0.6038234630387828,0.05103778839111328,524.182875
45312,Binary classification,Naive Bayes,Elec2,0.7287413652314008,0.6037845330582509,0.05103778839111328,545.083662
25,Binary classification,Naive Bayes,Phishing,0.5833333333333334,0.7058823529411764,0.05722999572753906,0.030855
50,Binary classification,Naive Bayes,Phishing,0.7346938775510204,0.7636363636363637,0.05722999572753906,0.07894899999999999
75,Binary classification,Naive Bayes,Phishing,0.7837837837837838,0.8048780487804877,0.05722999572753906,0.14088
100,Binary classification,Naive Bayes,Phishing,0.8080808080808081,0.819047619047619,0.05722999572753906,0.21579399999999999
125,Binary classification,Naive Bayes,Phishing,0.8145161290322581,0.8217054263565893,0.05722999572753906,0.30238299999999996
150,Binary classification,Naive Bayes,Phishing,0.8187919463087249,0.830188679245283,0.05722999572753906,0.40095299999999995
175,Binary classification,Naive Bayes,Phishing,0.8333333333333334,0.8323699421965318,0.05722999572753906,0.512254
200,Binary classification,Naive Bayes,Phishing,0.8341708542713567,0.83248730964467,0.05722999572753906,0.630947
225,Binary classification,Naive Bayes,Phishing,0.8303571428571429,0.8240740740740741,0.05722999572753906,0.755526
250,Binary classification,Naive Bayes,Phishing,0.8313253012048193,0.825,0.05722999572753906,0.8902920000000001
275,Binary classification,Naive Bayes,Phishing,0.8321167883211679,0.8244274809160306,0.05722999572753906,1.0307890000000002
300,Binary classification,Naive Bayes,Phishing,0.8394648829431438,0.8285714285714285,0.05722999572753906,1.1767940000000001
325,Binary classification,Naive Bayes,Phishing,0.845679012345679,0.8299319727891157,0.05722999572753906,1.328499
350,Binary classification,Naive Bayes,Phishing,0.8510028653295129,0.8322580645161292,0.05722999572753906,1.486712
375,Binary classification,Naive Bayes,Phishing,0.8529411764705882,0.8318042813455658,0.05722999572753906,1.650525
400,Binary classification,Naive Bayes,Phishing,0.8546365914786967,0.8313953488372093,0.05722999572753906,1.819986
425,Binary classification,Naive Bayes,Phishing,0.8561320754716981,0.8291316526610645,0.05722999572753906,1.9949560000000002
450,Binary classification,Naive Bayes,Phishing,0.8596881959910914,0.8310991957104559,0.05722999572753906,2.175511
475,Binary classification,Naive Bayes,Phishing,0.8565400843881856,0.8291457286432161,0.05722999572753906,2.3665200000000004
500,Binary classification,Naive Bayes,Phishing,0.8577154308617234,0.8337236533957845,0.05722999572753906,2.5684020000000003
525,Binary classification,Naive Bayes,Phishing,0.8587786259541985,0.8310502283105022,0.05722999572753906,2.7826770000000005
550,Binary classification,Naive Bayes,Phishing,0.8579234972677595,0.8311688311688311,0.05722999572753906,3.0019390000000006
575,Binary classification,Naive Bayes,Phishing,0.8606271777003485,0.8340248962655602,0.05722999572753906,3.2262800000000005
600,Binary classification,Naive Bayes,Phishing,0.8647746243739566,0.8363636363636363,0.05722999572753906,3.4573470000000004
625,Binary classification,Naive Bayes,Phishing,0.8669871794871795,0.8356435643564357,0.05722999572753906,3.6985710000000003
650,Binary classification,Naive Bayes,Phishing,0.8705701078582434,0.8426966292134833,0.05722999572753906,3.950257
675,Binary classification,Naive Bayes,Phishing,0.870919881305638,0.8465608465608465,0.05722999572753906,4.213891
700,Binary classification,Naive Bayes,Phishing,0.8755364806866953,0.8502581755593803,0.05722999572753906,4.4916480000000005
725,Binary classification,Naive Bayes,Phishing,0.8784530386740331,0.8562091503267973,0.05722999572753906,4.781178000000001
750,Binary classification,Naive Bayes,Phishing,0.8798397863818425,0.8584905660377359,0.05722999572753906,5.0790820000000005
775,Binary classification,Naive Bayes,Phishing,0.8798449612403101,0.8580152671755725,0.05722999572753906,5.389222
800,Binary classification,Naive Bayes,Phishing,0.8798498122653317,0.8596491228070174,0.05722999572753906,5.713132
825,Binary classification,Naive Bayes,Phishing,0.8798543689320388,0.860759493670886,0.05722999572753906,6.048287
850,Binary classification,Naive Bayes,Phishing,0.8798586572438163,0.8602739726027396,0.05722999572753906,6.3887920000000005
875,Binary classification,Naive Bayes,Phishing,0.8832951945080092,0.8636363636363635,0.05722999572753906,6.734933000000001
900,Binary classification,Naive Bayes,Phishing,0.8809788654060067,0.8608582574772432,0.05722999572753906,7.094009000000001
925,Binary classification,Naive Bayes,Phishing,0.8820346320346321,0.8635794743429286,0.05722999572753906,7.458316000000001
950,Binary classification,Naive Bayes,Phishing,0.8819810326659642,0.8650602409638554,0.05722999572753906,7.827904000000001
975,Binary classification,Naive Bayes,Phishing,0.8829568788501027,0.8661971830985915,0.05722999572753906,8.202805000000001
1000,Binary classification,Naive Bayes,Phishing,0.8808808808808809,0.8643101482326111,0.05722999572753906,8.583495000000001
1025,Binary classification,Naive Bayes,Phishing,0.880859375,0.8647450110864746,0.05722999572753906,8.969636000000001
1050,Binary classification,Naive Bayes,Phishing,0.882745471877979,0.8673139158576052,0.05722999572753906,9.361169000000002
1075,Binary classification,Naive Bayes,Phishing,0.8817504655493482,0.8672936259143157,0.05722999572753906,9.760295000000003
1100,Binary classification,Naive Bayes,Phishing,0.8835304822565969,0.8693877551020409,0.05722999572753906,10.172001000000003
1125,Binary classification,Naive Bayes,Phishing,0.8861209964412812,0.8735177865612648,0.05722999572753906,10.608551000000004
1150,Binary classification,Naive Bayes,Phishing,0.8859878154917319,0.8731848983543079,0.05722999572753906,11.060214000000004
1175,Binary classification,Naive Bayes,Phishing,0.8850085178875639,0.8717948717948718,0.05722999572753906,11.518483000000003
1200,Binary classification,Naive Bayes,Phishing,0.8865721434528774,0.8731343283582089,0.05722999572753906,12.000777000000003
1225,Binary classification,Naive Bayes,Phishing,0.886437908496732,0.8728270814272644,0.05722999572753906,12.497887000000002
1250,Binary classification,Naive Bayes,Phishing,0.8847077662129704,0.8714285714285714,0.05722999572753906,13.013017000000001
1903,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,0.433771
3806,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,2.676777
5709,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,7.506582999999999
7612,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,13.373237
9515,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,20.176723
11418,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,27.758156
13321,Binary classification,Naive Bayes,SMTP,1.0,0.0,0.010775566101074219,36.075711999999996
15224,Binary classification,Naive Bayes,SMTP,0.9997372397030808,0.7777777777777778,0.020140647888183594,45.388937999999996
17127,Binary classification,Naive Bayes,SMTP,0.9997664369963798,0.8181818181818181,0.020140647888183594,55.255269999999996
19030,Binary classification,Naive Bayes,SMTP,0.9997897945241474,0.8181818181818181,0.020140647888183594,65.776619
20933,Binary classification,Naive Bayes,SMTP,0.9998089050257978,0.8181818181818181,0.020140647888183594,76.767087
22836,Binary classification,Naive Bayes,SMTP,0.9998248303043573,0.8181818181818181,0.020140647888183594,88.39283400000001
24739,Binary classification,Naive Bayes,SMTP,0.9998383054410219,0.8181818181818181,0.020140647888183594,100.840089
26642,Binary classification,Naive Bayes,SMTP,0.9998498554859052,0.8333333333333333,0.020140647888183594,114.097435
28545,Binary classification,Naive Bayes,SMTP,0.999859865470852,0.8333333333333333,0.020140647888183594,128.419064
30448,Binary classification,Naive Bayes,SMTP,0.9998686241665845,0.8333333333333333,0.020140647888183594,143.42196199999998
32351,Binary classification,Naive Bayes,SMTP,0.9998763523956723,0.8333333333333333,0.020140647888183594,159.27144499999997
34254,Binary classification,Naive Bayes,SMTP,0.9998832219075702,0.8333333333333333,0.020140647888183594,175.647722
36157,Binary classification,Naive Bayes,SMTP,0.9998893682929527,0.8333333333333333,0.020140647888183594,192.62568199999998
38060,Binary classification,Naive Bayes,SMTP,0.9998949000236474,0.8333333333333333,0.020140647888183594,210.020456
39963,Binary classification,Naive Bayes,SMTP,0.9998999049096642,0.8333333333333333,0.020140647888183594,227.919915
41866,Binary classification,Naive Bayes,SMTP,0.999904454795175,0.8333333333333333,0.020140647888183594,246.505297
43769,Binary classification,Naive Bayes,SMTP,0.9999086090294279,0.8333333333333333,0.020140647888183594,265.58844600000003
45672,Binary classification,Naive Bayes,SMTP,0.9999124170699131,0.8333333333333333,0.020140647888183594,285.35674900000004
47575,Binary classification,Naive Bayes,SMTP,0.9999159204607558,0.8333333333333333,0.020140647888183594,305.738199
49478,Binary classification,Naive Bayes,SMTP,0.9999191543545486,0.8333333333333333,0.020140647888183594,326.697992
51381,Binary classification,Naive Bayes,SMTP,0.9999026858699883,0.8275862068965517,0.020140647888183594,348.075361
53284,Binary classification,Naive Bayes,SMTP,0.9999061614398589,0.8275862068965517,0.020140647888183594,370.84318099999996
55187,Binary classification,Naive Bayes,SMTP,0.9998912767730946,0.7999999999999999,0.020140647888183594,394.23872199999994
57090,Binary classification,Naive Bayes,SMTP,0.9993869221741492,0.4444444444444444,0.020140647888183594,418.06828399999995
58993,Binary classification,Naive Bayes,SMTP,0.9988473013289938,0.29166666666666663,0.020140647888183594,442.21989299999996
60896,Binary classification,Naive Bayes,SMTP,0.9986369981115034,0.2522522522522523,0.020140647888183594,468.967883
62799,Binary classification,Naive Bayes,SMTP,0.9979139463040224,0.1761006289308176,0.020140647888183594,496.401885
64702,Binary classification,Naive Bayes,SMTP,0.9979443903494536,0.17391304347826086,0.020140647888183594,524.230829
66605,Binary classification,Naive Bayes,SMTP,0.9977478830100295,0.15730337078651685,0.020140647888183594,552.4448239999999
68508,Binary classification,Naive Bayes,SMTP,0.9967302611411972,0.12500000000000003,0.020140647888183594,581.3789929999999
70411,Binary classification,Naive Bayes,SMTP,0.9964777730436017,0.1142857142857143,0.020140647888183594,610.775147
72314,Binary classification,Naive Bayes,SMTP,0.9964045192427364,0.10958904109589042,0.020140647888183594,640.8563369999999
74217,Binary classification,Naive Bayes,SMTP,0.9958230031260106,0.0935672514619883,0.020140647888183594,671.3201059999999
76120,Binary classification,Naive Bayes,SMTP,0.9956515456062218,0.08815426997245178,0.020140647888183594,702.1467319999999
78023,Binary classification,Naive Bayes,SMTP,0.9951936633257287,0.07862407862407862,0.020140647888183594,733.3822819999999
79926,Binary classification,Naive Bayes,SMTP,0.9946700031279324,0.06986899563318777,0.020140647888183594,765.2108999999999
81829,Binary classification,Naive Bayes,SMTP,0.9945862052109302,0.06736842105263158,0.020140647888183594,797.6489989999999
83732,Binary classification,Naive Bayes,SMTP,0.9945539883675102,0.06557377049180328,0.020140647888183594,830.5553769999999
85635,Binary classification,Naive Bayes,SMTP,0.9939860335847911,0.05850091407678244,0.020140647888183594,863.9539799999999
87538,Binary classification,Naive Bayes,SMTP,0.9938540274398254,0.05614035087719298,0.020140647888183594,897.9250449999998
89441,Binary classification,Naive Bayes,SMTP,0.9938618067978533,0.05507745266781411,0.020140647888183594,932.3406169999998
91344,Binary classification,Naive Bayes,SMTP,0.9939677917300723,0.0548885077186964,0.020140647888183594,967.1562479999999
93247,Binary classification,Naive Bayes,SMTP,0.993543958990198,0.050473186119873815,0.020140647888183594,1002.3516609999999
95150,Binary classification,Naive Bayes,SMTP,0.993483904192372,0.049079754601226995,0.020140647888183594,1038.077259
95156,Binary classification,Naive Bayes,SMTP,0.9934843150648941,0.049079754601226995,0.020140647888183594,1073.8222739999999
106,Binary classification,Hoeffding Tree,Bananas,0.49523809523809526,0.208955223880597,0.01922893524169922,0.034645
212,Binary classification,Hoeffding Tree,Bananas,0.5213270142180095,0.3129251700680272,0.01925182342529297,0.11441899999999999
318,Binary classification,Hoeffding Tree,Bananas,0.5299684542586751,0.40637450199203184,0.01925182342529297,0.250525
424,Binary classification,Hoeffding Tree,Bananas,0.5437352245862884,0.42388059701492536,0.01925182342529297,0.40809399999999996
530,Binary classification,Hoeffding Tree,Bananas,0.553875236294896,0.4099999999999999,0.01925182342529297,0.5823039999999999
636,Binary classification,Hoeffding Tree,Bananas,0.5590551181102362,0.4017094017094017,0.01925182342529297,0.7706059999999999
742,Binary classification,Hoeffding Tree,Bananas,0.5762483130904184,0.3984674329501916,0.01925182342529297,0.9754849999999999
848,Binary classification,Hoeffding Tree,Bananas,0.5867768595041323,0.40476190476190477,0.01925182342529297,1.197072
954,Binary classification,Hoeffding Tree,Bananas,0.5918153200419727,0.3987635239567234,0.01925182342529297,1.438539
1060,Binary classification,Hoeffding Tree,Bananas,0.6015108593012276,0.39714285714285713,0.01925182342529297,1.7135259999999999
1166,Binary classification,Hoeffding Tree,Bananas,0.6,0.38522427440633245,0.01925182342529297,2.014847
1272,Binary classification,Hoeffding Tree,Bananas,0.6073957513768686,0.3966142684401451,0.01925182342529297,2.339644
1378,Binary classification,Hoeffding Tree,Bananas,0.6085693536673928,0.384,0.01925182342529297,2.6845429999999997
1484,Binary classification,Hoeffding Tree,Bananas,0.6089008766014835,0.3790149892933619,0.01925182342529297,3.0481719999999997
1590,Binary classification,Hoeffding Tree,Bananas,0.6085588420390182,0.37424547283702214,0.01925182342529297,3.4519489999999995
1696,Binary classification,Hoeffding Tree,Bananas,0.6094395280235988,0.37072243346007605,0.01925182342529297,3.8827109999999996
1802,Binary classification,Hoeffding Tree,Bananas,0.6102165463631316,0.37544483985765126,0.01925182342529297,4.333837
1908,Binary classification,Hoeffding Tree,Bananas,0.610907184058731,0.3816666666666667,0.01925182342529297,4.809499
2014,Binary classification,Hoeffding Tree,Bananas,0.6060606060606061,0.3799843627834245,0.01925182342529297,5.298152
2120,Binary classification,Hoeffding Tree,Bananas,0.6045304388862671,0.38382352941176473,0.01925182342529297,5.825301
2226,Binary classification,Hoeffding Tree,Bananas,0.6053932584269663,0.38687150837988826,0.01925182342529297,6.370405
2332,Binary classification,Hoeffding Tree,Bananas,0.6061776061776062,0.38881491344873503,0.01925182342529297,6.93249
2438,Binary classification,Hoeffding Tree,Bananas,0.606893721789085,0.388250319284802,0.01925182342529297,7.511844999999999
2544,Binary classification,Hoeffding Tree,Bananas,0.608336610302792,0.39636363636363636,0.01925182342529297,8.105516999999999
2650,Binary classification,Hoeffding Tree,Bananas,0.6070215175537939,0.3944153577661431,0.01925182342529297,8.724372999999998
2756,Binary classification,Hoeffding Tree,Bananas,0.6047186932849364,0.3892316320807628,0.01925182342529297,9.359995999999999
2862,Binary classification,Hoeffding Tree,Bananas,0.6057322614470465,0.3922413793103448,0.01925182342529297,10.023515
2968,Binary classification,Hoeffding Tree,Bananas,0.6056622851365016,0.3899895724713243,0.01925182342529297,10.7065
3074,Binary classification,Hoeffding Tree,Bananas,0.6036446469248291,0.3903903903903904,0.01925182342529297,11.415528
3180,Binary classification,Hoeffding Tree,Bananas,0.6045926391947153,0.3924601256645723,0.01925182342529297,12.19749
3286,Binary classification,Hoeffding Tree,Bananas,0.6039573820395738,0.39006094702297234,0.01925182342529297,13.028178
3392,Binary classification,Hoeffding Tree,Bananas,0.6024771453848422,0.39169675090252704,0.01925182342529297,13.928180000000001
3498,Binary classification,Hoeffding Tree,Bananas,0.6030883614526737,0.39335664335664333,0.03483772277832031,14.911122
3604,Binary classification,Hoeffding Tree,Bananas,0.6069941715237303,0.40353833192923344,0.03483772277832031,15.956248
3710,Binary classification,Hoeffding Tree,Bananas,0.6079805877595039,0.40798045602605865,0.03483772277832031,17.063026
3816,Binary classification,Hoeffding Tree,Bananas,0.6107470511140236,0.4146629877808436,0.03483772277832031,18.215264
3922,Binary classification,Hoeffding Tree,Bananas,0.6123437898495282,0.4180704441041348,0.04409599304199219,19.424339
4028,Binary classification,Hoeffding Tree,Bananas,0.6143531164638689,0.4246017043349389,0.05026054382324219,20.685185
4134,Binary classification,Hoeffding Tree,Bananas,0.617227195741592,0.43216080402010054,0.05026054382324219,22.013483
4240,Binary classification,Hoeffding Tree,Bananas,0.6218447747110167,0.4439819632327437,0.05026054382324219,23.41243
4346,Binary classification,Hoeffding Tree,Bananas,0.6239355581127733,0.45130960376091334,0.05026054382324219,24.864338
4452,Binary classification,Hoeffding Tree,Bananas,0.6259267580319029,0.45676998368678623,0.05026054382324219,26.388609
4558,Binary classification,Hoeffding Tree,Bananas,0.6276058810621022,0.46382306477093216,0.05026054382324219,27.97361
4664,Binary classification,Hoeffding Tree,Bananas,0.6283508470941453,0.4695439240893787,0.05026054382324219,29.619002000000002
4770,Binary classification,Hoeffding Tree,Bananas,0.6288530090165653,0.47164179104477605,0.05942344665527344,31.347874
4876,Binary classification,Hoeffding Tree,Bananas,0.6311794871794871,0.47580174927113705,0.05946922302246094,33.141367
4982,Binary classification,Hoeffding Tree,Bananas,0.6336077092953222,0.484026010743568,0.05946922302246094,35.007101000000006
5088,Binary classification,Hoeffding Tree,Bananas,0.6361313151169649,0.49050371593724196,0.05946922302246094,36.88991800000001
5194,Binary classification,Hoeffding Tree,Bananas,0.6383593298671288,0.495703544575725,0.05946922302246094,38.792280000000005
5300,Binary classification,Hoeffding Tree,Bananas,0.6421966408756369,0.5034049240440022,0.05946922302246094,40.710919000000004
906,Binary classification,Hoeffding Tree,Elec2,0.8530386740331491,0.8513966480446927,0.17575550079345703,0.244852
1812,Binary classification,Hoeffding Tree,Elec2,0.8663721700717836,0.8393094289508632,0.20845508575439453,0.689999
2718,Binary classification,Hoeffding Tree,Elec2,0.8365844681634156,0.809278350515464,0.23302555084228516,1.4310040000000002
3624,Binary classification,Hoeffding Tree,Elec2,0.8459839911675407,0.8210391276459269,0.23302555084228516,2.4772680000000005
4530,Binary classification,Hoeffding Tree,Elec2,0.8511812762199161,0.8157463094587206,0.2329721450805664,3.7559250000000004
5436,Binary classification,Hoeffding Tree,Elec2,0.8404783808647655,0.8020095912308747,0.2329721450805664,5.302213
6342,Binary classification,Hoeffding Tree,Elec2,0.8334647531935025,0.7966884867154409,0.2329721450805664,7.265222
7248,Binary classification,Hoeffding Tree,Elec2,0.8330343590451221,0.7912353347135956,0.2329721450805664,9.615340999999999
8154,Binary classification,Hoeffding Tree,Elec2,0.8344167790997179,0.8013537374926426,0.2329721450805664,12.400554999999999
9060,Binary classification,Hoeffding Tree,Elec2,0.8403797328623468,0.8129849974133472,0.29805469512939453,15.586769999999998
9966,Binary classification,Hoeffding Tree,Elec2,0.8398394380331159,0.8171402383134739,0.2981691360473633,19.178490999999998
10872,Binary classification,Hoeffding Tree,Elec2,0.840493054916751,0.8200124558854057,0.2981691360473633,23.206663
11778,Binary classification,Hoeffding Tree,Elec2,0.8404517279442982,0.8184014690248381,0.3811349868774414,27.613101999999998
12684,Binary classification,Hoeffding Tree,Elec2,0.8397066939998423,0.8184983483617534,0.3811349868774414,32.277952
13590,Binary classification,Hoeffding Tree,Elec2,0.8422253293104717,0.8228684732319893,0.3811349868774414,37.234581
14496,Binary classification,Hoeffding Tree,Elec2,0.8440841669541221,0.8259128023417038,0.38237857818603516,42.443763
15402,Binary classification,Hoeffding Tree,Elec2,0.8445555483410169,0.8246153846153847,0.38240528106689453,47.845769999999995
16308,Binary classification,Hoeffding Tree,Elec2,0.8382903047770895,0.8146221441124781,0.40816593170166016,53.73837999999999
17214,Binary classification,Hoeffding Tree,Elec2,0.8345436588624876,0.8052516411378555,0.40816593170166016,60.02592599999999
18120,Binary classification,Hoeffding Tree,Elec2,0.8332689442022186,0.8030253635000325,0.40885257720947266,66.580052
19026,Binary classification,Hoeffding Tree,Elec2,0.8340604467805519,0.8008327550312283,0.41014575958251953,73.337266
