step,track,model,dataset,Memory in Mb,Time in s,using_fallback,Accuracy,F1
125,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.051680000000000004,False,0.0,0.0
150,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.06961600000000001,False,0.0,0.0
175,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.090093,False,0.0,0.0
200,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.11325800000000001,False,0.0,0.0
225,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.13897,False,0.0,0.0
250,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.167243,False,0.0,0.0
275,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.198051,False,0.0,0.0
300,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.231347,False,0.0,0.0
325,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.267144,False,0.0,0.0
350,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.30547599999999997,False,0.0,0.0
375,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.346292,False,0.0,0.0
400,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.39002,False,0.0,0.0
425,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.436334,False,0.0,0.0
450,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.485252,False,0.0,0.0
475,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.536782,False,0.0,0.0
500,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.590966,False,0.0,0.0
525,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.647679,False,0.0,0.0
550,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.706933,False,0.0,0.0
575,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.768703,False,0.0,0.0
600,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.833148,False,0.0,0.0
625,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.90012,False,0.0,0.0
650,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,0.9696710000000001,False,0.0,0.0
675,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.041754,False,0.0,0.0
700,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.116705,False,0.0,0.0
725,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.194212,False,0.0,0.0
750,Binary classification,CapyMoa Hoeffding Tree,Phishing,0.022485733032226562,1.274196,False,0.0,0.0
